product,title,content,date,author,rating,url,sentiment
Intel Xeon,Could be better,"This was a waste of money, very disappointed.",2022-07-21,Author5,1,http://example.com,negative
Intel Xeon,Great product,"Just a decent product, nothing special.",2022-07-17,Author6,1,http://example.com,negative
Intel Core i9,Terrible experience,"This product is amazing, highly recommend!",2024-06-14,Author1,3,http://example.com,neutral
Intel Core i9,Great product,"Exceeded my expectations, very satisfied!",2023-10-03,Author1,5,http://example.com,positive
Intel Celeron,Could be better,"This was a waste of money, very disappointed.",2024-02-09,Author4,1,http://example.com,negative
Intel Celeron,Terrible experience,"It works okay, but has some issues.",2024-04-19,Author5,5,http://example.com,positive
Intel Celeron,Not bad,"Exceeded my expectations, very satisfied!",2023-08-23,Author6,1,http://example.com,negative
Intel Pentium,Great product,"It works okay, but has some issues.",2023-02-08,Author3,2,http://example.com,negative
Intel Xeon,Great product,"It works okay, but has some issues.",2024-03-15,Author1,3,http://example.com,neutral
Intel Core i7,Decent,"It works okay, but has some issues.",2024-01-10,Author3,5,http://example.com,positive
Intel Core i7,Very satisfied,"Not as good as I expected, but not terrible.",2024-02-10,Author2,3,http://example.com,neutral
Intel Celeron,Great product,"This product is amazing, highly recommend!",2023-12-07,Author3,1,http://example.com,negative
Intel Core i7,Not bad,"It works okay, but has some issues.",2022-10-23,Author4,2,http://example.com,negative
Intel Core i7,Very satisfied,"Exceeded my expectations, very satisfied!",2022-11-13,Author5,2,http://example.com,negative
Intel Core i5,Great product,"It works okay, but has some issues.",2022-11-16,Author4,3,http://example.com,neutral
Intel Celeron,Great product,"Not as good as I expected, but not terrible.",2022-09-11,Author4,4,http://example.com,positive
Intel Pentium,Great product,"It works okay, but has some issues.",2022-04-12,Author6,3,http://example.com,neutral
Intel Xeon,Could be better,"Not as good as I expected, but not terrible.",2023-06-14,Author1,5,http://example.com,positive
Intel Xeon,Great product,"It works okay, but has some issues.",2022-03-11,Author2,4,http://example.com,positive
Intel Core i9,Decent,"This product is amazing, highly recommend!",2022-02-28,Author3,2,http://example.com,negative
Intel Celeron,Great product,"Exceeded my expectations, very satisfied!",2024-07-19,Author2,4,http://example.com,positive
Intel Celeron,Not bad,"Exceeded my expectations, very satisfied!",2022-12-15,Author1,3,http://example.com,neutral
Intel Celeron,Terrible experience,"It works okay, but has some issues.",2022-12-12,Author4,4,http://example.com,positive
Intel Pentium,Decent,"This was a waste of money, very disappointed.",2024-01-20,Author5,5,http://example.com,positive
